0, -970, -7
0, -970, -7
-13, -950, 68
-19, -915, 128
5, -877, 99
50, -846, 34
50, -846, 34
69, -836, 35
75, -785, 115
81, -672, 67
81, -672, 67
41, -531, -36
-1, -345, -164
37, -89, -238
143, 107, -234
212, 187, -244
212, 187, -244
113, 203, -184
-102, 202, -68
-238, 119, -3
-176, 93, 321
-12, 27, 823
48, -155, 1072
48, -155, 1072
-106, -471, 1186
-229, -830, 1345
-61, -899, 1414
293, -857, 1562
462, -955, 1849
371, -1085, 1977
231, -1250, 1998
-,-,-
-10, -946, 2
47, -904, -3
47, -904, -3
10, -899, -44
-42, -904, -63
-26, -915, -110
10, -861, -67
27, -806, -11
27, -806, -11
27, -724, -3
15, -600, -28
-2, -455, -61
-15, -292, -113
64, -188, -210
64, -188, -210
136, -59, -195
94, 70, -172
-12, 71, -237
-24, 63, -222
-38, 44, -61
-38, 44, -61
-115, 37, 180
-224, -94, 512
-126, -150, 830
78, -142, 1075
106, -211, 1478
35, -349, 1789
47, -441, 1771
47, -441, 1771
272, -470, 1862
455, -465, 1998
437, -568, 1998
-,-,-
134, -933, 135
109, -960, 59
85, -1020, 12
71, -991, 95
73, -938, 116
73, -938, 116
67, -830, 70
24, -716, 12
11, -539, -104
-3, -360, -208
-20, -181, -245
-20, -181, -245
35, 55, -279
58, 189, -310
34, 210, -367
20, 235, -373
-12, 305, -256
-12, 305, 137
-71, 282, 137
-71, 136, 672
92, 126, 881
108, 71, 1135
-65, -305, 1605
-65, -305, 1605
-137, -739, 1991
10, -866, 1998
264, -858, 1998
223, -1124, 1998
38, -1395, 1998
55, -1414, 1998
185, -1449, 1998
-,-,-
101, -1003, 203
101, -1003, 203
97, -951, 139
87, -909, 113
119, -915, 141
134, -877, 161
125, -809, 98
94, -724, 79
94, -724, 79
11, -610, 16
-99, -473, -59
-104, -291, -139
-53, -43, -153
-44, 159, -93
-44, 159, -93
-70, 220, -83
-141, 164, -80
-184, 156, -37
-199, 158, -38
-136, 144, 215
-82, -63, 695
-82, -63, 695
57, -189, 1158
308, -271, 1334
300, -481, 1534
153, -830, 1537
228, -896, 1664
536, -691, 1743
745, -770, 1966
525, -1092, 1998
-,-,-
145, -877, 90
137, -984, 49
137, -984, 49
63, -979, 67
9, -928, 120
38, -928, 75
104, -860, 149
104, -860, 149
