-118, -1998, 640
-115, -1998, 560
-55, -1948, 432
79, -1600, 207
195, -1169, 100
198, -850, 4
161, -592, -40
74, -469, -39
20, -347, -47
-59, -266, -156
-59, -266, -156
-119, -287, -159
-156, -288, -237
-95, -313, -278
47, -349, -239
133, -347, -266
175, -340, -328
156, -340, -314
91, -399, -280
47, -508, -200
-,-,-
24, -1041, 113
24, -1041, 113
1, -1012, 124
15, -1017, 115
18, -1033, 133
18, -1015, 139
-7, -1017, 119
-23, -1000, 123
-10, -991, 115
8, -984, 115
8, -984, 115
7, -971, 107
-9, -957, 104
-11, -951, 113
14, -924, 98
14, -924, 98
13, -907, 80
-9, -919, 65
-8, -941, 65
-8, -941, 65
23, -1043, 52
52, -1204, 11
20, -1548, 107
-63, -1962, 374
-82, -1998, 600
-106, -1998, 638
-93, -1998, 426
-4, -1821, 273
84, -1467, 139
84, -1467, 139
62, -1144, 166
-23, -888, 150
-88, -594, 24
-89, -462, -49
20, -442, -61
86, -393, -57
86, -393, -57
-17, -378, -86
-48, -267, -184
13, -175, -259
65, -136, -293
67, -170, -280
73, -272, -203
-,-,-
0, -1007, 92
11, -1034, 130
11, -1034, 130
30, -1018, 141
43, -1000, 117
13, -1001, 97
-14, -1001, 105
-11, -995, 132
8, -996, 114
-1, -994, 106
-1, -994, 106
-9, -1007, 112
-2, -1011, 127
7, -997, 111
-3, -978, 97
-8, -981, 106
-8, -981, 106
4, -991, 122
9, -1000, 126
-2, -991, 112
-11, -989, 96
-11, -989, 96
-5, -989, 102
3, -991, 115
4, -1006, 130
11, -990, 125
-6, -977, 97
-6, -977, 97
-16, -972, 91
-8, -1008, 130
18, -1006, 115
27, -1017, 95
33, -1097, 111
33, -1097, 111
22, -1229, 162
-15, -1382, 205
-28, -1530, 203
17, -1648, 206
47, -1770, 201
88, -1837, 232
22, -1903, 312
-9, -1835, 371
18, -1608, 292
18, -1608, 292
10, -1305, 148
-26, -987, -69
-14, -840, -119
71, -791, -73
86, -679, -82
37, -596, -56
-24, -477, -125
-25, -345, -151
-25, -345, -151
101, -208, -248
-,-,-
1, -1049, 84
1, -1049, 84
-7, -1037, 149
20, -1027, 131
8, -1026, 93
-13, -1019, 115
-35, -993, 122
-19, -1027, 115
-19, -1027, 115
